"event","experiment time","system time","system time text"
"START",0.000000000E0,1772998672.164,"2026-03-08 15:37:52.164 UTC-04:00"
"PAUSE",2.986932729E0,1772998675.151,"2026-03-08 15:37:55.151 UTC-04:00"
"START",2.986932729E0,1772998717.155,"2026-03-08 15:38:37.155 UTC-04:00"
"PAUSE",2.732580744E1,1772998741.494,"2026-03-08 15:39:01.494 UTC-04:00"
"START",2.732580744E1,1772998749.580,"2026-03-08 15:39:09.580 UTC-04:00"
"PAUSE",5.129219570E1,1772998773.547,"2026-03-08 15:39:33.547 UTC-04:00"
"START",5.129219570E1,1772998782.424,"2026-03-08 15:39:42.424 UTC-04:00"
"PAUSE",6.332514761E1,1772998794.457,"2026-03-08 15:39:54.457 UTC-04:00"
"START",6.332514761E1,1772998823.322,"2026-03-08 15:40:23.322 UTC-04:00"
"PAUSE",9.360224424E1,1772998853.599,"2026-03-08 15:40:53.599 UTC-04:00"
"START",9.360224424E1,1772998855.615,"2026-03-08 15:40:55.615 UTC-04:00"
"PAUSE",1.140674527E2,1772998876.081,"2026-03-08 15:41:16.081 UTC-04:00"
"START",1.140674527E2,1772998880.740,"2026-03-08 15:41:20.740 UTC-04:00"
"PAUSE",1.295733118E2,1772998896.246,"2026-03-08 15:41:36.246 UTC-04:00"
"START",1.295733118E2,1772998903.204,"2026-03-08 15:41:43.204 UTC-04:00"
"PAUSE",1.539435949E2,1772998927.574,"2026-03-08 15:42:07.574 UTC-04:00"
