"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.008299458E0,1.782648237E0,-2.051748796E0,1.225183541E0,2.981372598E0
6.018326458E0,2.602691581E0,-1.295512901E0,2.068596379E0,3.568115486E0
6.028353458E0,3.333791758E0,-9.745837918E-1,2.643992804E0,4.365166549E0
6.038380458E0,3.931879474E0,-1.064847552E0,2.806423193E0,4.946674402E0
6.048407458E0,4.204623433E0,-1.179542734E0,2.522284180E0,5.043024564E0
6.058435458E0,4.002948287E0,-1.002832275E0,1.692998142E0,4.460438350E0
6.068462458E0,4.253955806E0,-1.190295763E0,9.506777430E-1,4.518487820E0
6.078489458E0,4.233019266E0,-6.878249341E-1,3.501651871E-1,4.302809653E0
6.088516458E0,4.054133644E0,3.300449181E-1,-1.096154130E-1,4.069022584E0
6.098543458E0,3.496801021E0,1.738947902E0,-1.850514933E-1,3.909706030E0
6.108571458E0,3.266331262E0,2.787230877E0,-4.067359753E-3,4.293901771E0
6.118598458E0,3.168873380E0,3.614702523E0,1.540624380E-1,4.809528882E0
6.128625458E0,2.862383385E0,4.355470487E0,2.947149082E-1,5.220174201E0
6.138652458E0,2.551776366E0,4.758883928E0,3.878715420E-1,5.413777165E0
6.148680458E0,2.010810100E0,4.904093097E0,4.242974297E-1,5.317284520E0
6.158707458E0,1.374811378E0,4.793261463E0,4.486650797E-1,5.006671762E0
6.168734458E0,6.572217768E-1,4.467914783E0,4.442000727E-1,4.537787641E0
6.178761458E0,-5.952699423E-2,4.039795101E0,3.582764447E-1,4.056088009E0
6.188788458E0,-7.308171719E-1,3.585341315E0,2.348674500E-1,3.666596351E0
6.198816458E0,-1.199950978E0,3.231454375E0,1.960664964E-1,3.452625349E0
6.208844167E0,-1.490513157E0,2.905031222E0,1.557768416E-1,3.268807473E0
6.218871167E0,-1.635055743E0,2.613377368E0,1.857660230E-1,3.088309824E0
6.228898167E0,-1.664927999E0,2.327521613E0,2.898359549E-1,2.876342639E0
6.238925167E0,-1.602577969E0,2.100539133E0,4.887582314E-1,2.686895123E0
6.248953167E0,-1.538601828E0,1.863742687E0,6.754972494E-1,2.509408082E0
6.258980167E0,-1.378528453E0,1.638744752E0,8.824699724E-1,2.316155933E0
6.269007167E0,-1.290050724E0,1.497797619E0,1.137987449E0,2.280930514E0
6.279034167E0,-1.310262794E0,1.325183719E0,1.263718958E0,2.251640754E0
6.289061167E0,-1.185483797E0,1.209221739E0,1.398601359E0,2.196286595E0
6.299089167E0,-9.543544722E-1,1.192636111E0,1.401468834E0,2.072990170E0
6.309116167E0,-6.439597070E-1,1.233405823E0,1.284126910E0,1.893397990E0
6.319143167E0,-3.445933753E-1,1.347849866E0,1.015634462E0,1.722485766E0
6.329170167E0,2.963485837E-2,1.439524852E0,7.556415260E-1,1.626070152E0
6.339198167E0,3.450377637E-1,1.479499342E0,6.404852915E-1,1.648693655E0
6.349225167E0,5.520800686E-1,1.407283305E0,5.928199589E-1,1.623783916E0
6.359252167E0,8.028285563E-1,1.188911435E0,5.328889221E-1,1.530364236E0
6.369279167E0,1.163771331E0,1.035510902E0,4.389610040E-1,1.618435449E0
6.379306167E0,1.715728608E0,9.816580456E-1,2.586206124E-1,1.993555065E0
6.389334167E0,2.272335007E0,1.025341424E0,8.464021901E-2,2.494392789E0
6.399361167E0,2.741974012E0,1.216169985E0,-1.504260546E-1,3.003351280E0
6.409388167E0,3.334881679E0,1.205860759E0,-4.448076349E-1,3.573987943E0
6.419415167E0,3.660854012E0,1.191965436E0,-7.918398839E-1,3.930603528E0
6.429442167E0,3.821648349E0,1.299328501E0,-1.031379844E0,4.166172709E0
6.439470167E0,3.983891042E0,1.424478212E0,-1.176070365E0,4.391317287E0
6.449497167E0,4.150609193E0,1.495140644E0,-1.203369260E0,4.572865600E0
6.459524167E0,4.361191987E0,1.363719209E0,-1.042568491E0,4.686861924E0
6.469551167E0,4.478594722E0,1.186461452E0,-7.536482102E-1,4.693984138E0
6.479578167E0,4.501407634E0,1.097555122E0,-5.558837189E-1,4.666508828E0
6.489606167E0,4.482286654E0,1.086032014E0,-5.451324435E-1,4.644085332E0
6.499633167E0,4.554568180E0,1.069773831E0,-7.019752691E-1,4.730885396E0
6.509660167E0,4.693594503E0,1.036746418E0,-7.401043046E-1,4.863376078E0
6.519687167E0,4.638036599E0,9.869848591E-1,-8.179676554E-1,4.811922037E0
6.529714167E0,4.318071111E0,9.756289816E-1,-9.035257959E-1,4.518179821E0
6.539742167E0,3.879332301E0,8.419107610E-1,-1.056243374E0,4.107758865E0
6.549769167E0,3.520080541E0,4.157791328E-1,-1.215457282E0,3.747155682E0
6.559796167E0,3.424573874E0,-9.425126910E-2,-1.109480446E0,3.601046568E0
6.569823167E0,3.498641140E0,-6.026397729E-1,-7.964995301E-1,3.638416692E0
6.579851167E0,3.571377579E0,-1.062385290E0,-4.813691781E-1,3.757008997E0
6.589878167E0,3.546922184E0,-1.501984225E0,-2.552765715E-1,3.860282337E0
6.599905167E0,3.412349101E0,-1.837539559E0,1.855321527E-2,3.875696355E0
6.609932167E0,3.117098624E0,-2.099064173E0,2.946727534E-1,3.769510083E0
6.619959167E0,2.625245461E0,-2.189376757E0,5.888929689E-1,3.468728765E0
6.629987167E0,2.078573483E0,-2.144794077E0,8.271710998E-1,3.099164627E0
6.640014167E0,1.528906560E0,-2.079790288E0,9.340353978E-1,2.745087437E0
6.650041167E0,9.755658317E-1,-1.958115285E0,1.039714465E0,2.422178840E0
6.660068167E0,4.597361612E-1,-1.768308233E0,1.113650168E0,2.139740181E0
6.670095167E0,-2.022025645E-2,-1.533137020E0,1.143424775E0,1.912678279E0
6.680123167E0,-4.907439458E-1,-1.381108536E0,9.852318639E-1,1.766061221E0
6.690150167E0,-9.961608946E-1,-1.286160572E0,6.557184577E-1,1.753998928E0
6.700177167E0,-1.481337122E0,-1.290753852E0,3.347332887E-1,1.993100988E0
6.710204167E0,-1.951925715E0,-1.404302394E0,7.413867451E-2,2.405738090E0
6.720231167E0,-2.460084423E0,-1.523779429E0,-1.240182015E-1,2.896428772E0
6.730259167E0,-2.844482719E0,-1.633062135E0,-2.910907674E-1,3.292826706E0
6.740286167E0,-3.162782335E0,-1.823472620E0,-4.749155331E-1,3.681547129E0
6.750313167E0,-3.500012312E0,-2.031710388E0,-6.800902373E-1,4.103712467E0
6.760340167E0,-3.772956830E0,-2.238389581E0,-8.496349329E-1,4.468497586E0
6.770367167E0,-4.019369608E0,-2.441757057E0,-1.048153751E0,4.818312553E0
6.780395167E0,-4.245092597E0,-2.613139386E0,-1.231570966E0,5.134790712E0
6.790422167E0,-4.436848526E0,-2.791138571E0,-1.393264605E0,5.423768581E0
6.800449167E0,-4.664787025E0,-2.921799282E0,-1.547617650E0,5.717715403E0
6.810476167E0,-4.836096411E0,-2.983761934E0,-1.614707433E0,5.907448169E0
6.820504167E0,-4.920803854E0,-3.013638575E0,-1.658745153E0,6.003978974E0
6.830531167E0,-4.959063356E0,-2.998545742E0,-1.610409729E0,6.014732366E0
