"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.007845833E0,-1.291940837E0,-1.905356297E0,-8.157382729E0,8.475988835E0
6.017870833E0,-1.373945697E0,-1.880985541E0,-8.183877633E0,8.508918056E0
6.027896833E0,-1.358093457E0,-1.837244421E0,-8.335633344E0,8.643070528E0
6.037921833E0,-1.302090287E0,-1.911726254E0,-8.518230194E0,8.826685790E0
6.047946833E0,-1.308615780E0,-1.959867257E0,-8.686461605E0,9.000453886E0
6.057972833E0,-1.173737983E0,-1.993695446E0,-8.910950832E0,9.206385128E0
6.067997833E0,-9.445690106E-1,-2.062957324E0,-9.074336071E0,9.353693317E0
6.078023833E0,-6.957435259E-1,-2.094898616E0,-8.954985044E0,9.223037266E0
6.088048833E0,-4.608720925E-1,-2.209825348E0,-8.556959227E0,8.849705214E0
6.098074833E0,-2.312319802E-1,-2.350357475E0,-8.169264271E0,8.503794872E0
6.108099833E0,-1.272384824E-1,-2.586553266E0,-7.929899143E0,8.342046982E0
6.118124833E0,-1.174893101E-1,-2.798471856E0,-7.805938756E0,8.293245947E0
6.128150833E0,-1.045981730E-1,-2.955399138E0,-7.872024572E0,8.409167361E0
6.138175833E0,-2.093153369E-1,-3.037172449E0,-7.988923861E0,8.549335287E0
6.148201833E0,-1.098061327E-1,-3.020728909E0,-7.822012167E0,8.385745934E0
6.158226833E0,2.543350236E-1,-2.802079881E0,-7.231210082E0,7.759300047E0
6.168252833E0,1.694541551E-1,-2.586594197E0,-6.424139956E0,6.927391891E0
6.178277833E0,1.632326994E-2,-2.367384713E0,-5.036947684E0,5.565574435E0
6.188302833E0,-5.453158268E-1,-1.930778967E0,-2.478262247E0,3.188582842E0
6.198328833E0,-1.639188555E0,-1.375780261E0,4.545572823E-1,2.187768902E0
6.208353833E0,-2.888799644E0,-3.242134899E-1,3.511306209E0,4.558459067E0
6.218379833E0,-4.971480503E0,3.189464057E0,3.655918377E0,6.946512690E0
6.228404833E0,-2.141384273E0,6.028375257E0,-9.483505511E-1,6.467318116E0
6.238430833E0,3.230729320E0,7.351898367E0,3.309348058E0,8.685609139E0
6.248455833E0,6.038103855E0,4.466408540E0,1.935497495E1,2.076108279E1
6.258480833E0,4.298866223E0,-6.530284461E-1,3.024057846E1,3.055158396E1
6.268506833E0,4.546342025E0,-5.250537993E-1,3.020462276E1,3.054937222E1
6.278531833E0,4.661055917E0,-3.964765969E-1,3.017646491E1,3.053689032E1
6.288557833E0,4.598184023E0,-3.115374573E-1,3.016016053E1,3.051025459E1
6.298582833E0,4.456093467E0,-3.089306223E-1,3.016230529E1,3.049125887E1
6.308608833E0,4.347048450E0,-3.681409898E-1,3.017738643E1,3.049109722E1
6.318633833E0,4.310292268E0,-4.369855222E-1,3.019282542E1,3.050207013E1
6.328658833E0,4.320544775E0,-4.836398712E-1,3.020218330E1,3.051348703E1
6.338684833E0,4.333782872E0,-5.125138606E-1,3.020782937E1,3.052142362E1
6.348709833E0,4.320891515E0,-5.386767885E-1,3.021400871E1,3.052616252E1
6.358735833E0,4.274010587E0,-5.629485807E-1,3.022133878E1,3.052725659E1
6.368760833E0,4.203268048E0,-5.776163211E-1,3.022804904E1,3.052435178E1
6.378786833E0,4.135409356E0,-5.849760653E-1,3.023350332E1,3.052062468E1
6.388811833E0,4.095376687E0,-5.963509463E-1,3.023852959E1,3.052042622E1
6.398836833E0,4.094683207E0,-6.192584369E-1,3.024374999E1,3.052596149E1
6.408862833E0,4.127050762E0,-6.534511998E-1,3.024956212E1,3.053679018E1
6.418887833E0,4.165862533E0,-6.968689688E-1,3.025741142E1,3.055079349E1
6.428913833E0,7.666873549E-1,-2.943883047E-1,7.609343671E0,7.653534156E0
6.438938833E0,3.942730371E-1,-9.467652248E-1,3.456593812E0,3.605531362E0
6.448963833E0,3.680634777E-1,-1.369971345E0,4.578972119E-1,1.490624723E0
