"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.002430417E0,2.714432457E0,-3.413197532E0,-1.832311271E0,4.730266964E0
4.012455417E0,2.205161608E0,-2.050815580E0,-1.908512770E0,3.565249396E0
4.022480417E0,1.306390476E0,-2.447293639E-1,-1.682936546E0,2.144486874E0
4.032505417E0,6.832471490E-4,2.446104316E0,-1.085238547E0,2.676036153E0
4.042530417E0,-5.875960565E-1,5.048907579E0,-6.908575925E-1,5.129719395E0
4.052555417E0,-6.515666422E-1,6.982433276E0,-7.281701374E-1,7.050471281E0
4.062580417E0,-1.024731267E0,8.564179954E0,-6.297318234E-1,8.648226097E0
4.072605417E0,-1.407080114E0,9.855701838E0,-3.520922832E-1,9.961862383E0
4.082629417E0,-1.620397651E0,1.066926939E1,-4.606563668E-1,1.080144445E1
4.092654417E0,-2.049385644E0,1.095505907E1,-5.572511999E-1,1.115902458E1
4.102679417E0,-2.631839074E0,1.106010430E1,-8.403656343E-1,1.139994291E1
4.112704417E0,-3.303943184E0,1.086664215E1,-1.897827276E0,1.151528118E1
4.122729417E0,-3.876702223E0,1.051812354E1,-3.614694045E0,1.177818985E1
4.132754417E0,-4.264900040E0,1.021151543E1,-4.513543238E0,1.195142219E1
4.142779417E0,-4.792811812E0,9.801580594E0,-2.807307876E0,1.126601104E1
4.152804417E0,-6.043704318E0,9.310309814E0,1.210226583E0,1.116570101E1
4.162828417E0,-6.912258502E0,9.045405217E0,5.499372979E0,1.264285475E1
4.172853417E0,-4.961659520E0,8.791012160E0,7.782766825E0,1.274642771E1
4.182878417E0,-3.694610865E0,7.744765186E0,8.337167653E0,1.196410890E1
4.192903417E0,-3.252532710E0,7.213907586E0,9.619329899E0,1.245596000E1
4.202928417E0,-2.623979832E0,7.143045765E0,1.011599064E1,1.265865868E1
4.212953417E0,-2.356339615E0,7.225804331E0,9.946637735E0,1.251799452E1
4.222978417E0,-2.017840793E0,7.807004703E0,1.000464913E1,1.284966957E1
4.233003417E0,-1.471778386E0,8.685638902E0,9.888200662E0,1.324322344E1
4.243027417E0,-1.147113783E0,9.385561141E0,9.424393085E0,1.335004917E1
4.253052417E0,-9.742581019E-1,9.678385023E0,9.002027648E0,1.325355866E1
4.263077417E0,-8.473422396E-1,9.650306693E0,7.984052546E0,1.255354544E1
4.273102667E0,-1.356763654E0,9.272890558E0,6.851487805E0,1.160905647E1
4.283127667E0,-1.503815573E0,9.203136199E0,5.926433730E0,1.104906303E1
4.293152667E0,-1.189285364E0,9.502687302E0,5.175919628E0,1.088602818E1
4.303177667E0,-1.363203193E0,9.543023735E0,4.605116482E0,1.068338536E1
4.313202667E0,-1.958647967E0,9.060656510E0,3.851113346E0,1.003807114E1
4.323226667E0,-2.778616174E0,8.424343207E0,2.712896686E0,9.276317952E0
4.333251667E0,-4.093103582E0,7.952162417E0,-8.839069256E-1,8.987306353E0
4.343276667E0,-5.700928842E0,7.052271250E0,-3.692532180E0,9.791318264E0
4.353301667E0,-5.643235534E0,7.410168210E0,-8.439550061E0,1.256911713E1
4.363326667E0,-5.414965498E0,7.145419734E0,-1.977189429E1,2.170959876E1
4.373351667E0,-5.049040310E0,5.309369461E0,-2.613526472E1,2.714284941E1
4.383376667E0,-8.353811168E0,2.830204988E0,-1.488434238E1,1.730144125E1
4.393401667E0,-1.411368521E1,-3.102474153E-1,-5.384227855E0,1.510901298E1
4.403425667E0,-1.357416613E1,-5.959269939E0,-2.954369443E0,1.511618944E1
4.413450667E0,-4.641700172E0,-1.214157256E1,-1.385939331E1,1.900120911E1
4.423475667E0,1.691466172E0,-2.438282378E1,-4.116704581E1,4.787597325E1
4.433500667E0,1.348067090E0,-2.463982528E1,-4.102506606E1,4.787477749E1
4.443525667E0,7.375265595E-1,-2.493009042E1,-4.106382141E1,4.804467486E1
4.453550667E0,2.896029434E-1,-2.516681612E1,-4.111595050E1,4.820761236E1
4.463575667E0,6.265847057E-2,-2.529975140E1,-4.114469542E1,4.830080028E1
4.473600667E0,9.797567650E0,-9.225545653E0,1.952348586E1,2.371222310E1
4.483624667E0,6.339944143E0,-5.267367157E0,8.610764136E0,1.191995417E1
4.493649667E0,3.841313705E-1,-6.167047239E0,2.199461743E0,6.558784988E0
4.503674667E0,3.274221495E0,-8.419780040E0,-4.239841797E0,9.979452930E0
4.513699667E0,7.963386147E0,-1.190923228E1,-1.222554326E1,1.883372614E1
4.523724667E0,1.072772985E1,-1.925821406E1,-1.618275872E1,2.734674891E1
4.533749667E0,1.055824246E1,-1.921596208E1,-1.639578097E1,2.737793484E1
4.543774667E0,1.034559677E1,-1.919308777E1,-1.663810947E1,2.742686051E1
4.553799667E0,1.021656860E1,-1.914913776E1,-1.684702814E1,2.747526357E1
4.563823667E0,1.018749858E1,-1.906297553E1,-1.702917125E1,2.751681007E1
4.573848667E0,3.970193354E0,-8.056485515E0,1.842158567E0,9.168584531E0
4.583873667E0,3.476626665E0,-5.264428931E0,2.067754964E0,6.639032725E0
4.593898667E0,3.176245257E0,-3.822498534E0,1.105950555E0,5.091478725E0
4.603923667E0,2.274376854E0,-2.162185743E0,-2.957776031E-1,3.152034526E0
4.613948667E0,1.489899200E0,-7.772119045E-2,-1.556463610E0,2.156019290E0
4.623973667E0,5.844692579E-1,2.287804400E0,-1.748572711E0,2.938223922E0
4.633998667E0,-3.572324243E-1,4.340947173E0,-1.483437149E0,4.601306677E0
4.644022667E0,-8.393979201E-1,5.970501856E0,-1.326087991E0,6.173328975E0
4.654047667E0,-1.050027492E0,7.448006127E0,-1.162070669E0,7.610897532E0
4.664072667E0,-1.152787044E0,9.064719155E0,-9.104414441E-1,9.182970922E0
4.674097667E0,-1.497512567E0,1.039010694E1,-1.234322958E0,1.056978805E1
4.684122667E0,-2.003408110E0,1.111132357E1,-1.770982457E0,1.142854035E1
4.694147667E0,-2.596926519E0,1.125056332E1,-2.348783112E0,1.178286826E1
4.704172667E0,-3.216316811E0,1.118010086E1,-3.214421436E0,1.206945957E1
4.714197667E0,-3.731428151E0,1.084931919E1,-3.631786333E0,1.203416615E1
4.724221667E0,-4.185878429E0,1.038199335E1,-4.595887529E0,1.210080767E1
4.734246667E0,-4.552502943E0,9.795266771E0,-4.994449536E0,1.190029665E1
4.744271667E0,-4.876436352E0,9.108622974E0,-3.319970695E0,1.085213571E1
4.754296667E0,-5.334860982E0,8.596042017E0,-3.755400565E-1,1.012391774E1
4.764321667E0,-5.985779461E0,8.229750209E0,2.716173466E0,1.053261328E1
4.774346667E0,-6.092092366E0,8.246506575E0,4.581562728E0,1.122983424E1
4.784371667E0,-4.685151123E0,8.582156634E0,5.452299385E0,1.119516066E1
4.794396667E0,-3.728797781E0,8.888941913E0,6.386789111E0,1.156323036E1
4.804421667E0,-3.384230425E0,8.915695848E0,6.872110934E0,1.175451219E1
4.814445667E0,-3.674428031E0,8.668067434E0,6.868009112E0,1.165359874E1
4.824470667E0,-4.412549837E0,8.230159514E0,6.033385152E0,1.111790709E1
4.834495667E0,-4.679767007E0,7.974259629E0,6.924303181E0,1.155140729E1
4.844520667E0,-4.313613194E0,8.029973069E0,5.752707106E0,1.077874600E1
4.854545667E0,-3.806233042E0,8.219477236E0,5.196711742E0,1.044284583E1
4.864570667E0,-3.307231951E0,8.603085573E0,4.577706489E0,1.029107678E1
4.874595667E0,-2.998535802E0,8.924191852E0,4.517887134E0,1.044240017E1
4.884620667E0,-2.824526757E0,9.075765715E0,4.636300560E0,1.057557363E1
4.894644667E0,-2.631042976E0,9.110017535E0,4.862933084E0,1.065659067E1
4.904669667E0,-2.497376211E0,8.940382208E0,5.101465276E0,1.059208525E1
4.914694667E0,-2.512395954E0,8.474457353E0,5.147965844E0,1.022888621E1
4.924719667E0,-2.548854513E0,8.084381996E0,4.970751940E0,9.826610119E0
4.934744667E0,-2.455159314E0,7.966599192E0,4.797672310E0,9.618324674E0
4.944769667E0,-2.378016120E0,7.818762285E0,4.394520532E0,9.278998601E0
4.954794667E0,-2.187615576E0,7.669820253E0,3.951171777E0,8.900761936E0
4.964819667E0,-1.960552990E0,7.235218933E0,3.509664896E0,8.277071264E0
4.974844667E0,-1.694988827E0,5.799419342E0,2.995511329E0,6.743837183E0
4.984868667E0,-1.145905164E0,2.532170067E0,-8.266616904E0,8.721349605E0
4.994893667E0,6.205509639E-1,-3.715846490E0,-2.244306612E1,2.275706079E1
5.004918667E0,9.213992724E-1,-3.880015256E0,-2.192235520E1,2.228212630E1
5.014943667E0,9.732950655E-1,-3.928578136E0,-2.180700600E1,2.217941704E1
