"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.916343542E0,-9.690412745E0,-3.471299267E0,-4.925723702E-1,1.030517566E1
5.926371542E0,-9.048251642E0,-3.293759674E0,5.001182020E-1,9.642086329E0
5.936399542E0,-7.397562198E0,-3.579107598E0,7.945898294E-1,8.256228598E0
5.946427542E0,-8.559275309E0,-2.449930441E0,4.877808693E-1,8.916349206E0
5.956455542E0,-1.008174233E1,-2.566550818E0,8.883394074E-1,1.044116174E1
5.966483542E0,-1.053845431E1,-3.405910439E0,1.304790093E0,1.115175871E1
5.976512542E0,-9.901125348E0,-3.587019466E0,2.099141064E0,1.073803450E1
5.986540542E0,-4.779169089E0,-2.129865551E0,1.292472933E0,5.389551997E0
5.996568542E0,-5.336726829E0,-1.601758189E0,6.368024227E-1,5.608190427E0
6.006596542E0,-5.540505803E0,-1.756616726E0,1.135611141E-1,5.813415777E0
6.016624542E0,-6.049825183E0,-2.102283650E0,9.775562239E-1,6.478857728E0
6.026652542E0,-7.225368714E0,-2.851059667E0,1.319550219E0,7.878813810E0
6.036680542E0,-7.331771666E0,-3.265396292E0,1.281190731E0,8.127677307E0
6.046708542E0,-3.616113456E0,-2.712171046E0,1.329474406E0,4.711650508E0
6.056736542E0,1.138945223E0,-1.865005100E0,1.526891902E0,2.665865549E0
6.066765542E0,3.549837606E0,-1.038414921E0,1.397454135E0,3.953799519E0
6.076793542E0,4.399014702E0,2.704544815E-1,9.887048176E-1,4.516858775E0
6.086821542E0,4.067862321E0,1.980216299E0,-1.123133183E-1,4.525635285E0
6.096849542E0,3.338099402E0,2.068991650E0,-1.462749700E0,4.190855611E0
6.106877542E0,2.815818499E0,1.076898956E0,-3.038310024E0,4.280172074E0
6.116905542E0,3.359995471E0,2.799594229E-1,-3.136937934E0,4.605249879E0
6.126933542E0,3.788691688E0,7.361822847E-1,-2.879742891E0,4.815502900E0
6.136961542E0,3.754249249E0,1.078272175E0,-2.935856281E0,4.886339162E0
6.146989542E0,3.415561561E0,1.045983265E0,-2.939961027E0,4.626393045E0
6.157017542E0,2.891370957E0,1.031894399E0,-2.547000360E0,3.988990210E0
6.167046542E0,2.032104490E0,9.212276566E-1,-2.117626159E0,3.076109492E0
6.177074542E0,5.407575202E-1,5.580062217E-1,-1.918992150E0,2.070343090E0
6.187102542E0,-1.424206316E-1,-8.160520345E-2,-1.782963402E0,1.790503153E0
6.197130542E0,-2.533481598E-2,-1.802050468E-1,-1.582462670E0,1.592891652E0
6.207158542E0,3.508680224E-1,3.287743181E-2,-1.355905575E0,1.400952970E0
6.217186542E0,1.268152317E0,9.380269995E-1,-1.375474159E0,2.092853104E0
6.227214542E0,1.875070497E0,1.962912633E0,-1.788769395E0,3.250940068E0
6.237242917E0,1.548904622E0,2.439493746E0,-2.280738040E0,3.681304290E0
6.247270917E0,1.535629689E0,2.380095390E0,-2.555667396E0,3.815029285E0
6.257299917E0,1.927870270E0,2.764933982E0,-2.711670817E0,4.326049274E0
6.267327917E0,2.815382296E0,2.834442758E0,-2.593426960E0,4.763014447E0
6.277355917E0,5.108854403E0,2.879896966E0,-2.954294014E0,6.566738381E0
6.287383917E0,6.794240640E0,3.498128924E0,-1.589668486E0,7.805488949E0
6.297411917E0,5.903153626E0,2.944097347E0,1.132284075E-2,6.596594585E0
6.307439917E0,2.219197265E0,4.114978015E-3,1.965313500E0,2.964339823E0
6.317467917E0,2.042010843E0,-8.154988879E-1,2.844038916E0,3.594913639E0
6.327495917E0,1.932455657E0,-1.105836242E0,3.415722652E0,4.077305469E0
6.337523917E0,1.706403469E0,-1.511296208E0,3.764404400E0,4.400746473E0
6.347551917E0,8.219904667E-1,-1.942423405E0,3.719993628E0,4.276333664E0
6.357580917E0,3.860273302E-2,-2.286367155E0,3.418392490E0,4.112708615E0
6.367608917E0,4.344761896E-1,-2.472331709E0,3.197208402E0,4.064890553E0
6.377636917E0,5.619870061E-1,-2.269947588E0,2.985480723E0,3.792306237E0
6.387664917E0,1.033634530E0,-1.363270436E0,2.205751885E0,2.791459833E0
6.397692917E0,1.335871845E0,1.926982078E-1,1.328493243E0,1.893826941E0
6.407720917E0,7.190788865E-1,3.114222671E-1,9.387564397E-1,1.222833565E0
6.417748917E0,-5.376152265E-1,-4.011973464E-1,7.756515750E-1,1.025487595E0
6.427776917E0,-1.382839020E0,2.809265524E-1,5.303740346E-1,1.507468109E0
6.437804917E0,-2.284981365E0,8.857303798E-1,6.334429049E-1,2.531187084E0
6.447833917E0,-3.356809323E0,2.485129510E-1,9.082585323E-1,3.486382234E0
6.457861917E0,-3.847961989E0,8.211756572E-2,1.817948755E0,4.256582249E0
6.467889917E0,-4.689302062E0,9.907668382E-2,3.039367493E0,5.589018230E0
6.477917917E0,-5.807663916E0,-3.759459995E-1,3.270616686E0,6.675869162E0
6.487945917E0,-5.489723904E0,-4.920532836E-1,2.466065540E0,6.038266657E0
6.497973917E0,-3.602405829E0,1.239216347E0,1.811545469E0,4.218374319E0
6.508001917E0,-6.754899403E0,-7.356762081E-2,1.393039195E0,6.897436940E0
6.518029917E0,-7.816028711E0,-2.342982528E0,4.859737873E-2,8.159793726E0
6.528057917E0,-4.467690834E0,-9.481548156E-1,-4.514529955E-1,4.589451901E0
6.538085917E0,-3.680862014E0,3.480672061E-2,1.303215730E-1,3.683332783E0
6.548114917E0,-3.542423337E0,-3.574059404E-1,-9.215241104E-2,3.561599945E0
6.558142917E0,-1.641712214E0,1.281803226E-1,-4.657549927E-1,1.711308535E0
6.568170917E0,-1.533432305E-1,9.907976823E-1,-2.628878921E-2,1.002938330E0
6.578198917E0,1.776123914E0,1.564847640E0,-3.038514385E-1,2.386564475E0
6.588226917E0,2.874180728E0,2.093338579E0,-6.337051526E-1,3.611725832E0
6.598254917E0,2.463395117E0,2.434302003E0,-1.470912706E0,3.762675369E0
6.608282917E0,9.424051023E-1,1.223330193E0,-1.372586804E0,2.066073250E0
6.618310917E0,9.589264101E-1,5.704716083E-1,-9.577674919E-1,1.470474850E0
6.628338917E0,1.352893674E0,1.728338567E0,-1.459570569E0,2.635872103E0
6.638366917E0,6.580474037E-1,1.421440583E0,-1.204715289E0,1.976071519E0
6.648395917E0,-5.405575454E-1,7.667513819E-1,-1.897230568E0,2.116505131E0
