"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.795041668E-3,-1.091018812E0,1.102413574E0,1.047852035E0,1.871799034E0
1.975104167E-2,-8.496118364E-1,9.057611865E-1,9.015506065E-1,1.534613012E0
2.970604167E-2,-6.800949150E-1,5.294320482E-1,1.946946665E-1,8.835911952E-1
3.966104167E-2,-6.167967591E-1,-7.997996986E-2,-7.487763101E-1,9.733966304E-1
4.961604167E-2,-7.015068340E-1,-8.267015684E-1,-1.990003368E0,2.266199622E0
5.957104167E-2,-8.563630316E-1,-1.248064792E0,-3.393447976E0,3.715711578E0
6.952604167E-2,-1.118662401E0,-1.352544596E0,-4.494186907E0,4.824779623E0
7.948104167E-2,-1.420206236E0,-1.596874595E0,-5.072721534E0,5.504497977E0
8.943604167E-2,-1.687555846E0,-1.705130530E0,-5.154893040E0,5.685792567E0
9.939104167E-2,-2.065769250E0,-1.592423694E0,-4.806896001E0,5.468954651E0
1.093460417E-1,-2.879813058E0,-1.931542321E0,-4.069146954E0,5.346226326E0
1.193010417E-1,-3.991492130E0,-2.478387378E0,-3.279391311E0,5.729644036E0
1.292570417E-1,-5.014714816E0,-3.033802114E0,-2.597730803E0,6.410891145E0
1.392120417E-1,-5.867318965E0,-3.578394238E0,-2.406767318E0,7.281680169E0
1.491670417E-1,-6.157304024E0,-3.957791995E0,-3.109822934E0,7.952830250E0
1.591220417E-1,-5.742624167E0,-4.065891809E0,-4.074100131E0,8.130651905E0
1.690770417E-1,-4.834785465E0,-4.100174620E0,-4.403638095E0,7.718718215E0
1.790320417E-1,-4.170408450E0,-4.521735479E0,-3.926076697E0,7.297429453E0
1.889870417E-1,-4.389025611E0,-4.692491718E0,-3.141537062E0,7.152082176E0
1.989420417E-1,-5.224509405E0,-4.372229192E0,-2.584689758E0,7.286460579E0
2.088970417E-1,-6.292991002E0,-4.283255619E0,-2.866060699E0,8.134022276E0
2.188520417E-1,-6.403874676E0,-4.238934309E0,-2.866026785E0,8.197090000E0
2.288070417E-1,-5.577882375E0,-4.492290071E0,-1.824190366E0,7.390609742E0
2.387630417E-1,-3.577503999E0,-4.308360640E0,-1.445514740E0,5.783599150E0
2.487180417E-1,-6.234071825E-1,-4.069625841E0,-2.334922433E0,4.733112483E0
2.586730417E-1,1.509341776E0,-4.260265537E0,-2.330179172E0,5.085047691E0
2.686280417E-1,2.981987597E0,-4.306441584E0,-1.309718419E0,5.399356580E0
2.785830417E-1,4.113127664E0,-4.884016682E0,4.206603885E-2,6.385390175E0
2.885380417E-1,4.809147471E0,-6.175825079E0,2.613602486E0,8.252250163E0
2.984930417E-1,5.055601471E0,-7.153594726E0,5.962521576E0,1.059644692E1
3.084480417E-1,4.957700370E0,-7.184082109E0,7.542611153E0,1.153606569E1
3.184030417E-1,2.805916531E0,-6.808401427E0,5.677065185E0,9.298202336E0
3.283580417E-1,8.649552226E-2,-6.031406454E0,1.106075685E0,6.132597224E0
3.383140417E-1,4.026133959E-1,-5.286467671E0,-1.678774205E0,5.561215768E0
3.482690417E-1,6.350264040E-1,-5.207526752E0,-3.053122191E-1,5.254979444E0
3.582240417E-1,8.981736202E-2,-5.834221970E0,1.730053994E0,6.085992111E0
