"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.912694700E-2,-4.025421143E-1,-3.030042648E-1,-3.705120087E-1,6.254045785E-1
2.715291800E-2,-7.251830101E-1,-5.101881027E-1,2.171959877E-1,9.128835607E-1
3.514837200E-2,-9.803562164E-1,-3.959636688E-1,8.147964478E-1,1.334832869E0
4.317434200E-2,-1.038853645E0,-1.920681000E-1,1.426112175E0,1.774796604E0
5.120031300E-2,-9.417557716E-1,-2.160692215E-2,1.706936836E0,1.949616412E0
5.922628400E-2,-8.169598579E-1,1.491112709E-1,1.824923515E0,2.004994618E0
6.722173900E-2,-7.457776070E-1,1.771426201E-1,1.757408619E0,1.917302480E0
7.524771000E-2,-8.480844498E-1,6.305885315E-2,1.544833660E0,1.763443986E0
8.327368100E-2,-8.769836426E-1,-7.598304749E-2,1.266873837E0,1.542673994E0
9.126913400E-2,-7.594504356E-1,-1.825318336E-1,9.275784492E-1,1.212635400E0
9.929510500E-2,-5.738692284E-1,-3.264870644E-1,5.982346535E-1,8.909570108E-1
1.073210760E-1,-4.766383171E-1,-4.596204758E-1,2.639513016E-1,7.128150929E-1
1.153470470E-1,-5.037441254E-1,-6.318767071E-1,-6.890583038E-2,8.110328786E-1
1.233425010E-1,-5.062055588E-1,-7.498688698E-1,-2.166695595E-1,9.303188097E-1
1.313684720E-1,-5.697011948E-1,-8.894221783E-1,-2.155284882E-1,1.077999903E0
1.393944430E-1,-3.589158058E-1,-6.987342834E-1,-9.949350357E-2,7.918011820E-1
1.473898960E-1,-9.047126770E-2,-4.843273163E-1,3.170742989E-1,5.859130572E-1
1.554158680E-1,1.997489929E-1,-1.719498634E-1,1.232679367E0,1.260541486E0
1.634418390E-1,2.143216133E-1,2.412462234E-2,2.050631523E0,2.061942142E0
1.714678100E-1,3.257417679E-2,1.005797386E-1,2.404298306E0,2.406621637E0
1.794632640E-1,-2.426013947E-1,9.502744675E-2,2.215785980E0,2.231052030E0
1.874892340E-1,-5.813221931E-1,-2.642047405E-1,1.669411659E0,1.787365359E0
1.955152050E-1,-9.804408550E-1,-9.520685673E-1,8.272314072E-1,1.597501370E0
2.035106600E-1,-9.120097160E-1,-1.420932770E0,2.830972672E-1,1.712003423E0
2.115366310E-1,-6.408457756E-1,-1.606063008E0,2.580757141E-1,1.748349155E0
2.195626020E-1,-4.370779991E-1,-1.549149036E0,6.218652725E-1,1.725577101E0
2.275580550E-1,-7.144379616E-2,-1.276915789E0,1.203711510E0,1.756285724E0
2.355840260E-1,4.016885757E-1,-1.118477583E0,2.373914719E0,2.654772477E0
2.436099970E-1,1.218226671E0,-7.529257536E-1,3.931143761E0,4.183881533E0
2.516054510E-1,1.965594053E0,-4.532765150E-1,5.058227539E0,5.445611574E0
2.596314220E-1,2.585881948E0,-2.286502123E-1,5.612975121E0,6.184218308E0
2.676573930E-1,2.474553108E0,-4.295998812E-1,5.054288864E0,5.643917528E0
2.756528470E-1,1.710607767E0,-7.921674252E-1,3.776136398E0,4.220534831E0
2.836788180E-1,5.278406143E-1,-1.383428574E0,1.917749405E0,2.422860523E0
2.917047880E-1,-6.552360058E-1,-1.881988406E0,2.637691498E-1,2.010171323E0
2.997002430E-1,-1.614245176E0,-2.191917658E0,-1.683211327E0,3.200545403E0
3.077262140E-1,-2.118747711E0,-2.359330416E0,-3.716929436E0,4.885805594E0
3.157216670E-1,-3.030238628E0,-1.773845673E0,-4.865778446E0,6.000389529E0
3.237476380E-1,-2.750597477E0,-2.239904165E0,-5.347990513E0,6.417472998E0
3.317736090E-1,-2.617299557E0,-2.062827349E0,-6.240015984E0,7.074129849E0
