"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.561111500E-2,-7.282152176E-1,-7.246356010E-1,-8.111233711E-1,1.308936698E0
2.363708800E-2,-6.111421585E-1,-6.216940880E-1,-9.433164597E-1,1.284462619E0
3.166306100E-2,-7.385439873E-1,-6.372146606E-1,-6.385178566E-1,1.165845100E0
3.968903400E-2,-1.048241138E0,-7.343125343E-1,-4.058051109E-1,1.342647448E0
4.771500700E-2,-1.143613338E0,-7.701439857E-1,-1.882739067E-1,1.391553194E0
5.574098000E-2,-1.031596184E0,-7.235884666E-1,2.232542038E-1,1.279692696E0
6.376695300E-2,-8.393654823E-1,-6.556153297E-1,5.567684174E-1,1.201814022E0
7.179292600E-2,-7.373929024E-1,-6.542930603E-1,9.647517204E-1,1.379345346E0
7.981889900E-2,-6.659350395E-1,-9.429783821E-1,1.325156212E0,1.757474521E0
8.784487200E-2,-7.840013504E-1,-1.683097601E0,1.038103104E0,2.127236166E0
9.587084500E-2,-1.381340265E0,-2.445367813E0,1.009840488E0,2.984577438E0
1.038968190E-1,-1.146371365E0,-2.630474567E0,7.591991425E-1,2.968155504E0
1.119227920E-1,-4.269943237E-1,-2.508219004E0,1.139870167E0,2.787972511E0
1.199182480E-1,-5.283212662E-2,-2.196802139E0,1.457361221E0,2.636784519E0
1.279442210E-1,2.366409302E-1,-1.727760315E0,1.486476898E0,2.291455477E0
1.359701940E-1,5.743694305E-1,-1.559742332E0,1.908731461E0,2.530998256E0
1.439961670E-1,8.991007805E-1,-1.466240644E0,2.925938606E0,3.394018351E0
1.520221400E-1,6.926608086E-1,-1.361023426E0,5.009174347E0,5.236792091E0
1.600481130E-1,-6.048130989E-2,-1.562193274E0,5.853549957E0,6.058725354E0
1.680740860E-1,-3.734765053E-1,-1.491084456E0,4.646507263E0,4.894164617E0
1.761000590E-1,-7.071270943E-1,-1.253286839E0,2.725971222E0,3.082478829E0
1.841260320E-1,-1.008542299E0,-1.195908189E0,9.720344543E-1,1.841793948E0
1.921520050E-1,-1.199029207E0,-1.405657768E0,-2.141456604E-1,1.859947087E0
2.001779790E-1,-9.075682163E-1,-2.103446484E0,-9.502124786E-1,2.480135265E0
2.082039520E-1,-9.841167927E-1,-2.566585541E0,-1.179331779E0,2.991098568E0
2.162299250E-1,-1.298806310E0,-2.041605711E0,-6.232194901E-1,2.498690505E0
2.242558980E-1,-6.644694805E-1,-1.030487895E0,-1.965160370E-1,1.241790459E0
2.322818710E-1,-5.254883766E-1,-6.492990851E-1,-5.892496109E-1,1.022224261E0
2.403078440E-1,-6.196560860E-1,-7.322281599E-1,-1.788474560E0,2.029476039E0
2.483032990E-1,-1.101123095E0,-4.972174466E-1,-3.371007919E0,3.580976354E0
2.563292720E-1,-1.274506807E0,-6.872227192E-1,-4.199445724E0,4.442070132E0
2.643552450E-1,-8.544800282E-1,-6.678016186E-1,-4.596863270E0,4.723054842E0
2.723812180E-1,-4.263708591E-1,-4.814801812E-1,-4.167416096E0,4.216749007E0
2.804071910E-1,-1.773531318E0,-2.561051607E0,-4.776869774E0,5.702883789E0
2.884331640E-1,-1.871118307E0,-3.502666712E0,-4.597121716E0,6.074807477E0
2.964591380E-1,-4.537186623E-1,1.584775448E-1,-4.261066437E0,4.288083830E0
3.044851110E-1,5.585951805E-1,3.072617054E0,-2.936820507E0,4.286947495E0
3.125110840E-1,1.632585287E0,3.080175877E0,1.350461960E0,3.738524529E0
3.205370570E-1,-8.688154221E-1,1.640049458E0,1.584482193E0,2.440325036E0
3.285630310E-1,-4.260538578E0,-1.611756563E0,3.656439781E0,5.841189953E0
3.365890040E-1,-5.040454865E0,-3.184583664E0,4.248947144E0,7.321291565E0
3.446149770E-1,-3.088687420E0,-1.550536394E0,4.594905853E0,5.749548929E0
3.526409500E-1,-2.368880510E0,3.707140684E-1,2.735860825E0,3.637850773E0
3.606364050E-1,-2.774436712E0,1.374146223E0,1.339373589E0,3.373380874E0
3.686623780E-1,-3.819125652E0,1.591756225E0,7.006835938E-2,4.138153961E0
3.766883510E-1,-4.544322014E0,1.623219252E0,-1.047330856E0,4.937874566E0
3.847143240E-1,-4.909137726E0,2.041303635E0,-1.588200569E0,5.548777774E0
3.927402970E-1,-5.162764549E0,2.757275343E0,-1.460575104E0,6.032411188E0
4.007662710E-1,-5.076658726E0,3.579546928E0,-9.297380447E-1,6.280926115E0
4.087922440E-1,-4.614228249E0,4.345996857E0,-3.183288574E-1,6.346662451E0
4.168182170E-1,-4.026150703E0,4.643852711E0,-7.152509689E-1,6.187636175E0
4.248441900E-1,-3.545194864E0,4.471105099E0,-1.192919731E0,5.829429210E0
4.328701630E-1,-3.460553169E0,3.777187347E0,-1.469171524E0,5.329262375E0
4.408961360E-1,-4.014900208E0,2.924705982E0,-1.729178429E0,5.259599490E0
4.489221090E-1,-4.676953316E0,2.355778217E0,-1.723270893E0,5.513006974E0
4.569480820E-1,-5.626078606E0,1.939762235E0,-1.151237488E0,6.061417801E0
4.649740550E-1,-5.464656353E0,2.326518536E0,-1.975288391E-1,5.942573112E0
4.730000280E-1,-4.744798183E0,3.021036148E0,7.914428711E-1,5.680330187E0
4.810260010E-1,-4.095406055E0,4.278291702E0,1.726540565E0,6.169041495E0
4.890519740E-1,-3.501202822E0,6.051265240E0,3.260179520E0,7.713948580E0
4.970779470E-1,-2.823762178E0,7.952956676E0,5.817365646E0,1.025011687E1
5.050734040E-1,-1.766946912E0,9.127863884E0,9.123308182E0,1.302592617E1
5.130993770E-1,-2.809256315E0,7.376366615E0,1.198741150E1,1.435272587E1
5.211253500E-1,-4.844433308E0,4.587831497E0,1.436853981E1,1.584208535E1
5.291513230E-1,-5.578321934E0,3.315898418E0,1.680189514E1,1.801156679E1
5.371772960E-1,-5.933162689E0,2.846606731E0,1.805175400E1,1.921383386E1
5.452032690E-1,-6.124201775E0,2.666978598E0,1.769750977E1,1.891614321E1
5.532292420E-1,-6.435889721E0,2.096391678E0,1.655650330E1,1.788668041E1
5.612552150E-1,-7.347782135E0,1.443692446E0,1.524716663E1,1.698676663E1
5.692811880E-1,-7.760134697E0,9.282834530E-1,1.386935616E1,1.591981284E1
5.773071610E-1,-6.832676411E0,1.517487526E0,1.163198566E1,1.357539413E1
5.853331340E-1,-5.725906372E0,2.509237289E0,9.088886261E0,1.103132490E1
5.933285910E-1,-5.496972084E0,2.430062056E0,6.788957596E0,9.067074993E0
6.013545640E-1,-5.287540436E0,1.968516469E0,4.727239609E0,7.360702091E0
6.093805370E-1,-5.812520504E0,1.661516309E0,2.628129959E0,6.591896399E0
6.174065100E-1,-5.680093765E0,1.864624977E0,1.011989594E0,6.063366592E0
