"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.009725542E0,1.605301602E0,-1.970480100E0,9.057051994E-2,2.543223953E0
6.019751542E0,1.306249266E0,-1.914653808E0,9.223479831E-1,2.494576548E0
6.029776542E0,9.203523284E-1,-1.471744764E0,1.753605702E0,2.467430651E0
6.039802542E0,3.036242741E-1,-9.980668677E-1,2.529104372E0,2.735816898E0
6.049828542E0,-2.988219559E-1,-5.580562884E-1,3.225483198E0,3.287014336E0
6.059854542E0,-2.881952262E-1,-1.139670570E-1,3.712917620E0,3.725829066E0
6.069880542E0,-2.037052989E-2,2.035855772E-1,4.063800260E0,4.068947604E0
6.079905542E0,2.605133379E-1,4.394814062E-1,4.431649182E0,4.461000513E0
6.089931542E0,4.641648424E-1,5.652959454E-1,4.887071267E0,4.941505244E0
6.099957542E0,3.608907348E-1,5.547080997E-1,5.229982983E0,5.271685234E0
6.109983542E0,-3.446869308E-1,5.266625145E-1,4.862995357E0,4.903560576E0
6.120008542E0,-1.301811229E0,5.320666208E-1,4.282355733E0,4.507369298E0
6.130034542E0,-2.164732790E0,4.901086093E-1,3.849313865E0,4.443364911E0
6.140060542E0,-2.815588118E0,4.749639188E-1,3.532293035E0,4.542050337E0
6.150086542E0,-3.209301614E0,5.213025181E-1,3.236191204E0,4.587407402E0
6.160112542E0,-3.575946009E0,4.555042024E-1,2.848743585E0,4.594585286E0
6.170137542E0,-3.868571670E0,2.921874858E-1,2.316418189E0,4.518518952E0
6.180163542E0,-3.898380775E0,1.861413594E-2,1.868924489E0,4.323262414E0
6.190189542E0,-3.607398182E0,-8.687102314E-2,1.646478718E0,3.966328325E0
6.200215542E0,-3.097770068E0,4.157165676E-2,1.331035028E0,3.371878088E0
6.210241542E0,-3.266763956E0,-3.721509007E-1,8.689026779E-1,3.400769751E0
6.220266542E0,-3.400641221E0,-6.560836163E-1,6.497578061E-1,3.523775196E0
6.230292542E0,-3.142114767E0,-7.229403877E-1,5.356856453E-1,3.268407429E0
6.240318542E0,-2.712669522E0,-7.583533184E-1,2.917278215E-1,2.831745188E0
6.250344542E0,-2.270104294E0,-8.082108452E-1,-2.001516536E-2,2.409767392E0
6.260369542E0,-1.899651607E0,-8.036116447E-1,-2.501979724E-1,2.077755262E0
